"Response ID","Date submitted","Last page","Start language","Seed","{if(is_empty(eqZufall),rand(1,2),eqZufall)}","Imagine the following situation: Two individuals are given access to an investment opportunity.   They can choose between:    	not investing and receiving 30 CHF, or  	investing, which gives a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value: 30 CHF).   Your task is to decide how to distribute the total amount of money received by the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether each person chose to invest, and how much money they received.  ","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [B (investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [B (investor)]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Imagine the following situation: Two individuals each receive 30 CHF. Additionally, Person A is given access to an investment opportunity, while Person B is not.   Investing comes with a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value = 30 CHF). Person A makes a choice between this risky option and a safe 30 CHF.  Your task is to decide how to distribute the total amount of money between the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether Person A chose to invest, and how much money each individual received. ","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person B (non-investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person B (non-investor)]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Below is a seven-point scale on which the political views that people might hold are arranged from very left-wing (1) to very right-wing (7). Where would you place yourself on this scale?","Below is a ten-point scale on which people’s willingness to take financial risks is arranged from not at all willing (1) to very willing (10). This could, for example, involve choosing between a safe option with a guaranteed outcome and a risky option with higher but uncertain returns. Where would you place yourself on this scale?","In your opinion, what mainly determines success in life on a scale from 1 (success mainly depends on effort) to 10 (success mainly depends on luck)?","What is the highest level of education you have completed?","How old are you?","What is your gender?","What is your current gross monthly income?"
"16","1980-01-01 00:00:00","16","en","511274219","2",,,,,,,,"","45","45","0","30","30","30","2 (left wing)","4","9","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"17","1980-01-01 00:00:00","16","en","507746988","1","","10","80","0","30","30","30",,,,,,,,"5 (slightly right wing)","6","4","Professional education (apprenticeship / Lehre)","60-69","Male","CHF 4'000 – 5'999"
"18","1980-01-01 00:00:00","16","en","399242902","2",,,,,,,,"","30","60","20","10","30","30","4 (moderate)","5 (neutral)","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","50-59","Male","CHF 6'000 – 7'999"
"20","1980-01-01 00:00:00","16","en","1009269677","1","","0","90","15","15","30","30",,,,,,,,"2 (left wing)","2","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","50-59","Female","CHF 4'000 – 5'999"
"21","1980-01-01 00:00:00","16","en","1056352504","2",,,,,,,,"","45","45","5","25","0","60","2 (left wing)","2","5 (success depends equally on effort and luck)","Professional education (apprenticeship / Lehre)","50-59","Female","CHF 2'000 - 3'999"
"25","1980-01-01 00:00:00","16","en","695480897","1","","45","45","15","15","30","30",,,,,,,,"4 (moderate)","5 (neutral)","4","Other qualification","50-59","Female","CHF 8'000 – 9'999"
"26","1980-01-01 00:00:00","16","en","931522175","2",,,,,,,,"","45","45","15","15","30","30","3 (slightly left wing)","7","1 (success mainly depends on effort)","Master's degree (university and university of applied sciences)","20-29","Female","CHF 4'000 – 5'999"
"27","1980-01-01 00:00:00","16","en","830358614","2",,,,,,,,"","45","45","15","15","0","60","3 (slightly left wing)","6","4","Master's degree (university and university of applied sciences)","50-59","Female","CHF 8'000 – 9'999"
"28","1980-01-01 00:00:00","16","en","1365215188","1","","30","60","30","0","30","30",,,,,,,,"1 (very left wing)","3","3","Bachelor's degree (university and university of applied sciences)","20-29","Female","CHF 6'000 – 7'999"
"29","1980-01-01 00:00:00","16","en","39135739","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","6","5 (success depends equally on effort and luck)","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"31","1980-01-01 00:00:00","16","en","1966285510","1","","30","60","0","30","0","60",,,,,,,,"5 (slightly right wing)","5 (neutral)","7","Professional education (apprenticeship / Lehre)","60-69","Male","CHF 10'000 or more"
"32","1980-01-01 00:00:00","16","en","139824708","1","","30","60","30","0","0","60",,,,,,,,"5 (slightly right wing)","10 (very willing to take financial risks)","3","Bachelor's degree (university and university of applied sciences)","40-49","Male","CHF 8'000 – 9'999"
"33","1980-01-01 00:00:00","16","en","698655752","1","","0","90","30","0","30","30",,,,,,,,"5 (slightly right wing)","7","2","Bachelor's degree (university and university of applied sciences)","60-69","Male","Prefer not to say"
"35","1980-01-01 00:00:00","16","en","1586878132","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","3","7","Master's degree (university and university of applied sciences)","30-39","Female","CHF 6'000 – 7'999"
